ID;File name;Title;MIME type;Address;Author;Authored on;Checksum;Country;Crawler;Date;Description;File encoding;File extension;File size;Generator;Keywords;Language;Message ID;Modified on;Name;Notes;Other name;Previous name;Program;Published on;Publishing source;Publishing source URL;Retrieved on;Source link;Summary;Topics;Weak alias;Wikidata ID;Wikipedia Article
18170.540fa5b90df56155cc9411ea6f4af1a05453cb02;email.rtf_redacted (1).pdf;;application/pdf;;;;d70c19c26faa99552cf989f1d2800077cecf37a5;Germany;;;;;;365680;;;;;;;;;;;;;;;;;;;;
18202.e012e07d780837946d051aa6375abcfab1adf350;1.1 _16870.D_Electricity interventions.pdf;;application/pdf;;SYLVESTRE Jullien (SG-RECOVER);;f315c12a3d9a164182e1902c13e94f88b9f00383;Greece;;;;;;162182;��;;;;;;;;;;;;;;;;;;;
18236.e6c558253eb6e5a2cbef3c0c39d649f03c5c8aaf;1.3 _16831.D_Produc- E Green.pdf;;application/pdf;;SYLVESTRE Jullien (SG-RECOVER);;af6f37673ef62de7bfe1da9b84b9024842aed4f3;Greece;;;;;;239049;��;;;;;;;;;;;;;;;;;;;
18237.9389249b10c5d0f55053cdbca3b1c8789935e8e7;1.3 _16831.F_Produc- E Green.pdf;;application/pdf;;Georgina Grafakou;;c1d6e51801f612b46fde58b16efad46251a8ed4f;Greece;;;;;;245142;��;;;;;;;;;;;;;;;;;;;
18264.1376247957ebe74525b7197c6ea3bbd4ba6ef1d8;1.4 _16909.F_Establishment of a strategic National Disaster Risk ManagementNational Disaster Risk Management.pdf;;application/pdf;;Georgina Grafakou;;03721d8cb6463cca3fdb8080be42e43a9feb3b82;Greece;;;;;;283727;��;;;;;;;;;;;;;;;;;;;
18270.7ba155566ac737570787e09a164bb7b72371f6cf;1.4 _16979.D_Water and wastewater regulatory authority.pdf;;application/pdf;;SYLVESTRE Jullien (SG-RECOVER);;e650dd65dd90f4d4e860a3aee6ff8161492b53f0;Greece;;;;;;162164;��;;;;;;;;;;;;;;;;;;;
18276.fd771aeb09bf111b3aeeacf1f624fc8a6f3d809f;2.1 _16834.F_5G Corridors.pdf;;application/pdf;;Dim;;ce784f5de932ea12072b8cab15aec8ab84236acf;Greece;;;;;;202275;��;;;;;;;;;;;;;;;;;;;
18287.1528641580a7c8ddcd0d9cfd4ed01e1673d8f4f5;2.2 _16736.D_New system for Public Procurements.pdf;;application/pdf;;SYLVESTRE Jullien (SG-RECOVER);;3f2c0b223f3a2d1512880edcdf030cb5420aeffc;Greece;;;;;;162158;��;;;;;;;;;;;;;;;;;;;
18289.57ae09d655c6c3446dec3d7c05b8ba29fe56a6d8;2.2 _16738.D_Central Document Management System.pdf;;application/pdf;;SYLVESTRE Jullien (SG-RECOVER);;73cec64e8549c596da870038d35810a84f89edf2;Greece;;;;;;162165;��;;;;;;;;;;;;;;;;;;;
18291.129194f4ab92ed6e39d18b8e57066987d4c48396;2.2 _16742.D_Digital transformation of the Ministry of Foreign Affairs.pdf;;application/pdf;;SYLVESTRE Jullien (SG-RECOVER);;eac5dec82ec6d95fd50dbb7f858c6f797b01c8bc;Greece;;;;;;162214;��;;;;;;;;;;;;;;;;;;;
18294.d90ae7fb1da6336c0d8e4cbefe66bffe8b1ef4d5;2.2 _16778.F_Digitisation of archives and related services.pdf;;application/pdf;;Lakiara Eirini;;9b2eb793c5815b8543ec7fbe19e6e9e891b8c94f;Greece;;;;;;374985;��;;;;;;;;;;;;;;;;;;;
18297.c7a07a32f456b8de900c7f18cdd218799a4ea6c8;2.2 _16780.D_Public Administrations One-Stop Shops.pdf;;application/pdf;;SYLVESTRE Jullien (SG-RECOVER);;9519f6a8db356dac7469c2b2676295c278b5bbe3;Greece;;;;;;206574;��;;;;;;;;;;;;;;;;;;;
18314.13de78eeee7a630c2a24b5fc2b0d9f7df7b207d7;2.2 _16827.F_Public Sector data governance.pdf;;application/pdf;;Paris Bayias;;9b622db1127127159d2426431fa1a2ae9b5420ba;Greece;;;;;;395331;��;;;;;;;;;;;;;;;;;;;
18317.7000a3af338362a1f8e69d54acc6e6d669a28005;2.2 _16853.D_Cloud computing infrastructure and service.pdf;;application/pdf;;SYLVESTRE Jullien (SG-RECOVER);;7b0d7bee581850f33afec6f99d480f6e8331192a;Greece;;;;;;162218;��;;;;;;;;;;;;;;;;;;;
18325.160660408bc0cc66d4bcae29bfddf908eb86d4ed;2.2 _16955.D_GRNET cloud computing.pdf;;application/pdf;;SYLVESTRE Jullien (SG-RECOVER);;d9ced9f93f003090d53326fcb3b60c0b1b151aba;Greece;;;;;;162353;��;;;;;;;;;;;;;;;;;;;
18337.f2a094a97ca1b571cea48b0726e4af289f617eed;3.1 _16744.D_Modernisation of Labour Law.pdf;;application/pdf;;SYLVESTRE Jullien (SG-RECOVER);;ad8a5f8758759eb04da90295b383f7f796d744c1;Greece;;;;;;162162;��;;;;;;;;;;;;;;;;;;;
18360.bf5fbc023ce4b764d5456cff32892acbb8de0cd6;3.2 _16933.F_Laboratory equipment.pdf;;application/pdf;;Babis G;;539a700217a7d10cb227ea96e8c9642d08c76312;Greece;;;;;;184525;��;;;;;;;;;;;;;;;;;;;
18364.b3b46d3a6a1ab2ccb1798cb2c40b488dd5b18a66;3.3 _16752.F_Digital Transformation of Health _31_5_2021 .pdf;;application/pdf;;Eirini Lakiara;;f0c5a929833b446a22de4fe80198562ee5883842;Greece;;;;;;270309;��;;;;;;;;;;;;;;;;;;;
18365.2e910d988904328a92161fa4a4256f91d382549d;3.3 _16753.D_Hospital at Home.pdf;;application/pdf;;SYLVESTRE Jullien (SG-RECOVER);;f5dfe51db77c8cf4bcdcde5246280acb27f98e25;Greece;;;;;;162220;��;;;;;;;;;;;;;;;;;;;
18379.384e7341ef385a7f7a20e8deb130a69163dd6e86;3.3 _16816.D_Pharmaceutical clawback payments.pdf;;application/pdf;;SYLVESTRE Jullien (SG-RECOVER);;1625a280e650d1b0162e6e82d92e06287dc2595c;Greece;;;;;;164940;��;;;;;;;;;;;;;;;;;;;
18382.5838128461cf8fe6606c0fe4a45c3d5f9c9e57fb;3.3 _16820.F_Mental health and addictions reform.pdf;;application/pdf;;Lilian Vildiridi;;6938321f82802b476a8f12db1c72e29a37655bca;Greece;;;;;;224697;��;;;;;;;;;;;;;;;;;;;
18399.9d2dc0e99d0dadf6494a532959d5384680444f7e;3.4 _16945.D_Childcare units within companies.pdf;;application/pdf;;SYLVESTRE Jullien (SG-RECOVER);;77c06dcc19fa19d9748f60c96b49c6afc4744723;Greece;;;;;;162195;��;;;;;;;;;;;;;;;;;;;
18401.3f8d2dd391eecfc3899f40388e16bd52b9c10418;4.1 _16291.D_Digital Transformation of the Tax and Customs Administration.pdf;;application/pdf;;SYLVESTRE Jullien (SG-RECOVER);;b3e0ce3c226e14907f4c7e0619a343b966ee3513;Greece;;;;;;162217;��;;;;;;;;;;;;;;;;;;;
18155.e2a86ed857a26fcfc089f1801086446401ae4ff2;DE CID 2021_06_02_LW.pdf;;application/pdf;;PERTICARI Francesco (ECFIN);;4f995dc40dbe58ed017e42723ebe7919e1d3d486;Germany;;;;;;281738;"Acrobat PDFMaker 17 for Word; Adobe PDF Library 17.11.238";;;;;;;;;;;;;;;;;;;
18158.f256d3988718b963c8f098439165190eea33870d;DE RRF CID_Annex_20210601_TC.docx.pdf;;application/pdf;;;;bb40e41aef55f4a31b035108c9836e651b715efa;Germany;;;;;;1614638;PDF CoDe 2018 4.7111.7111 (c) 2002-2018 European Commission;;;;;;;;;;;;;;;;;;;
18164.f90d17cebb569436dad51450226a26f5ab73b395;email.rtf - redacted.pdf;;application/pdf;;;;8ef47e232ef178291d7cd119a8667848f7aff4dc;Germany;;;;;;170027;;;;;;;;;;;;;;;;;;;;
18559.d2f1e69ef1df1414ed2108514a32d8ebc379da51;NRRP_Greece_2_0_English.pdf;;application/pdf;;�����������;;8e80faf98fd0cc6a97baf7d3dce02f5b7b6f5a1b;Greece;;;;;;6074832;��;;;;;;;;;;;;;;;;;;;
18442.d21de1f3260895aad00c124bb7c3937cd39e4306;4.3 _16292.F_New Judicial Buildings.pdf;;application/pdf;;Athanasiadis Paschalis;;c2323098d6cea6aa1ed86fb497bd7fcc79aab8e3;Greece;;;;;;231067;��;;;;;;;;;;;;;;;;;;;
18462.60cbf38837447f6bebb6a3d9b7632e1aa796fea8;4.5 _16622.F_HORIZON 2020 Seal of Excellence.pdf;;application/pdf;;George Karanatsidis;;99778c9ab0fa3f81f582d8e1909b0f1f085111ea;Greece;;;;;;215305;��;;;;;;;;;;;;;;;;;;;
18470.0d0c3124a90e561819ab7da30dee135d5bacc578;4.6 _16293.F_Culture as a driver of growth_24.05.pdf;;application/pdf;;George Karanatsidis;;fa9ed7fc4b5dda82b8ee9fa397e1908c9de203ee;Greece;;;;;;206335;��;;;;;;;;;;;;;;;;;;;
18474.4f036fec566d7f59b6072639a57d972fca90af30;4.6 _16435.F_Acropolis Monuments.pdf;;application/pdf;;Author;;d714f793ba03770ebb8c4f0a363fb4c0797d99d2;Greece;;;;;;180564;��;;;;;;;;;;;;;;;;;;;
18475.4f4bca316c13c8112fadbc95f434e6d92bbe382f;4.6 _16485.D_Cultural Routes.pdf;;application/pdf;;SYLVESTRE Jullien (SG-RECOVER);;71d7f99688cd3bcb46b609a6a62c50e3d27be7db;Greece;;;;;;162169;��;;;;;;;;;;;;;;;;;;;
18484.838b5c4a495a0828b42b6395dd08de31188c4ade;4.6 _16592.F_Trade facilitation.pdf;;application/pdf;;Danai Kotsiopoulou;;1ad06dff16124cd91ff542422c38cd441996c2e4;Greece;;;;;;192026;��;;;;;;;;;;;;;;;;;;;
