file;filename;country;docdate
/content/drive/MyDrive/projects/recoveryfiles/Denmark/ECfiles/cellar_89a04125-cf7b-11eb-ac72-01aa75ed71a1.0001.02_DOC_1.pdf;cellar_89a04125-cf7b-11eb-ac72-01aa75ed71a1.0001.02_DOC_1.pdf;Denmark;17-6-2021
/content/drive/MyDrive/projects/recoveryfiles/Denmark/ECfiles/questions_and_answers_european_commission_endorses_denmark_s_1.5_billion_recovery_and_resilience_plan_en.pdf;questions_and_answers_european_commission_endorses_denmark_s_1.5_billion_recovery_and_resilience_plan_en.pdf;Denmark;17-6-2021
/content/drive/MyDrive/projects/recoveryfiles/Denmark/ECfiles/CONSIL_ST_10154_2021_INIT_EN_TXT.pdf;CONSIL_ST_10154_2021_INIT_EN_TXT.pdf;Denmark;6-7-2021
/content/drive/MyDrive/projects/recoveryfiles/Denmark/ECfiles/denmark-recovery-resilience-factsheet_en.pdf;denmark-recovery-resilience-factsheet_en.pdf;Denmark;1-6-2021
/content/drive/MyDrive/projects/recoveryfiles/Denmark/ECfiles/CELEX_52021SC0154_EN_TXT.pdf;CELEX_52021SC0154_EN_TXT.pdf;Denmark;17-6-2021
/content/drive/MyDrive/projects/recoveryfiles/Denmark/ECfiles/cellar_89a04125-cf7b-11eb-ac72-01aa75ed71a1.0001.02_DOC_2.pdf;cellar_89a04125-cf7b-11eb-ac72-01aa75ed71a1.0001.02_DOC_2.pdf;Denmark;17-6-2021
/content/drive/MyDrive/projects/recoveryfiles/Denmark/ECfiles/CONSIL_ST_10154_2021_ADD_1_EN_TXT.pdf;CONSIL_ST_10154_2021_ADD_1_EN_TXT.pdf;Denmark;6-7-2021
/content/drive/MyDrive/projects/recoveryfiles/Denmark/ECfiles/denmarks-recovery-and-resilience-plan-accelerating-the-green-transition_web.pdf;denmarks-recovery-and-resilience-plan-accelerating-the-green-transition_web.pdf;Denmark;1-4-2021
/content/drive/MyDrive/projects/recoveryfiles/Denmark/Slackfiles/3. Revised milestones and targets.docx;3. Revised milestones and targets.docx;Denmark;
/content/drive/MyDrive/projects/recoveryfiles/Denmark/Slackfiles/5.1. Annex - Tagging of subsidies.xlsx;5.1. Annex - Tagging of subsidies.xlsx;Denmark;
/content/drive/MyDrive/projects/recoveryfiles/Denmark/Slackfiles/10. List of previous projects in the Foundation of organic farming.pdf;10. List of previous projects in the Foundation of organic farming.pdf;Denmark;1-12-2020
/content/drive/MyDrive/projects/recoveryfiles/Denmark/Slackfiles/5. 025bis-tagging of investment 1 and 5 - Energy efficiency etc.docx;5. 025bis-tagging of investment 1 and 5 - Energy efficiency etc.docx;Denmark;
/content/drive/MyDrive/projects/recoveryfiles/Denmark/Slackfiles/2. Milestones & Targets, Tagging, Costing etc_190521.xlsx;2. Milestones & Targets, Tagging, Costing etc_190521.xlsx;Denmark;21-5-2021
/content/drive/MyDrive/projects/recoveryfiles/Denmark/Slackfiles/9. Regulation on taking carbon rich soils out of production.pdf;9. Regulation on taking carbon rich soils out of production.pdf;Denmark;18-5-2021
/content/drive/MyDrive/projects/recoveryfiles/Denmark/Slackfiles/1. DK reply to comments and questions on the Danish RRP.docx;1. DK reply to comments and questions on the Danish RRP.docx;Denmark;14-5-2021
/content/drive/MyDrive/projects/recoveryfiles/Denmark/Slackfiles/8. List of soil quality criteria.pdf;8. List of soil quality criteria.pdf;Denmark;21-5-2021
/content/drive/MyDrive/projects/recoveryfiles/Denmark/Slackfiles/1.1 Project description Stikrydsning ved Balstrupvej i Ringsted.pdf;1.1 Project description Stikrydsning ved Balstrupvej i Ringsted.pdf;Denmark;1-10-2020
/content/drive/MyDrive/projects/recoveryfiles/Denmark/Slackfiles/1.2 Costing table Stikryds v. Balstrupvej, Ringsted.pdf;1.2 Costing table Stikryds v. Balstrupvej, Ringsted.pdf;Denmark;16-5-2019
/content/drive/MyDrive/projects/recoveryfiles/Denmark/Slackfiles/10.1 Project description Cykelsti Faaborg - Svanninge Bakker.pdf;10.1 Project description Cykelsti Faaborg - Svanninge Bakker.pdf;Denmark;30-10-2020
/content/drive/MyDrive/projects/recoveryfiles/Denmark/Slackfiles/10.2 Costing table Cykelsti Faaborg – Svanninge Bakker.pdf;10.2 Costing table Cykelsti Faaborg – Svanninge Bakker.pdf;Denmark;7-12-2018
